"Year","State","State.Minimum.Wage","State.Minimum.Wage.2020.Dollars","Federal.Minimum.Wage","Federal.Minimum.Wage.2020.Dollars","Effective.Minimum.Wage","Effective.Minimum.Wage.2020.Dollars","CPI.Average","Department.Of.Labor.Uncleaned.Data","Department.Of.Labor.Cleaned.Low.Value","Department.Of.Labor.Cleaned.Low.Value.2020.Dollars","Department.Of.Labor.Cleaned.High.Value","Department.Of.Labor.Cleaned.High.Value.2020.Dollars","Footnote","Murder","Assault","UrbanPop","Rape"
1973,"Alabama",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,13.2,236,58,21.2
1973,"Alaska",2.1,12.23,1.6,9.32,2.1,12.23,44.4,"2.1",2.1,12.23,2.1,12.23,NA,10,263,48,44.5
1973,"Arizona",0.468,2.73,1.6,9.32,1.6,9.32,44.4,"18.72-26.40/wk(b)",0.468,2.73,0.66,3.84,"(b)",8.1,294,80,31
1973,"Arkansas",1.2,6.99,1.6,9.32,1.6,9.32,44.4,"1.2",1.2,6.99,1.2,6.99,NA,8.8,190,50,19.5
1973,"California",1.65,9.61,1.6,9.32,1.65,9.61,44.4,"1.65(b)",1.65,9.61,1.65,9.61,"(b)",9,276,91,40.6
1973,"Colorado",1,5.83,1.6,9.32,1.6,9.32,44.4,"1.00 - 1.25(b)",1,5.83,1.25,7.28,"(b)",7.9,204,78,38.7
1973,"Connecticut",1.85,10.78,1.6,9.32,1.85,10.78,44.4,"1.85",1.85,10.78,1.85,10.78,NA,3.3,110,77,11.1
1973,"Delaware",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,5.9,238,72,15.8
1973,"District of Columbia",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.60 - 2.25",1.6,9.32,2.25,13.11,NA,NA,NA,NA,NA
1973,"Florida",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,15.4,335,80,31.9
1973,"Georgia",1.25,7.28,1.6,9.32,1.6,9.32,44.4,"1.25",1.25,7.28,1.25,7.28,NA,17.4,211,60,25.8
1973,"Guam",1.9,11.07,1.6,9.32,1.9,11.07,44.4,"1.9",1.9,11.07,1.9,11.07,NA,NA,NA,NA,NA
1973,"Hawaii",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,5.3,46,83,20.2
1973,"Idaho",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,NA,2.6,120,54,14.2
1973,"Illinois",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,NA,10.4,249,83,24
1973,"Indiana",1.25,7.28,1.6,9.32,1.6,9.32,44.4,"1.25",1.25,7.28,1.25,7.28,NA,7.2,113,65,21
1973,"Iowa",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,2.2,56,57,11.3
1973,"Kansas",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,6,115,66,18
1973,"Kentucky",0.65,3.79,1.6,9.32,1.6,9.32,44.4,".65 - .75(b)",0.65,3.79,0.75,4.37,"(b)",9.7,109,52,16.3
